Dist_Name,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area
Dhalai,1.167627679,0.830802532,0.336825147
Sipahijala,0.601362713,0.003254841,0.598107872
Gomati,2.520489489,0.002801781,2.517687708
Khowai,0.889218209,0,0.889218209
West Tripura,0.612502471,0,0.612502471
South Tripura,0.931395601,0,0.931395601
Unokoti,23.62357053,0.001642557,23.62192797
Amroha,3.77465624,0.02670143,3.74795481
Hapur,1.533241589,0.006144137,1.527097452
Bareilly,4.170101962,0,4.170101962
Pilibhit,3.104616978,0.672146699,2.432470279
Bulandshahr,4.647089954,0.043817515,4.603272439
Gautam Buddha Nagar,4.671283575,0.002840861,4.668442714
Kheri,7.086100462,0.145950617,6.940149845
Budaun,3.899941243,0.043402472,3.856538771
Bahraich,4.089125081,0.40923834,3.679886741
Shahjahanpur,4.764711247,0.007833177,4.75687807
Aligarh,1.93292949,0.006094499,1.926834991
Kasganj,11.5492555,0.061598326,11.48765717
Mathura,4.807455013,0,4.807455013
Shrawasti,7.721578816,0.028878669,7.692700147
Sitapur,3.400453125,0.025174919,3.375278206
Hathras,1.329597887,0,1.329597887
Etah,1.185341675,0.000451786,1.184889889
Hardoi,4.375049349,0.028511914,4.346537435
Farrukhabad,6.314129092,0.099039455,6.215089637
Firozabad,4.216316792,0,4.216316792
Siddharthnagar,13.40492833,0.022007889,13.38292044
Mainpuri,3.043030701,0,3.043030701
Mahrajganj,3.336576576,0.082956237,3.253620339
Agra,4.133356464,0.10192976,4.031426704
Gonda,2.9367264,0.067902889,2.868823511
Bara Banki,3.016814521,0.151297728,2.865516793
Kushinagar,4.446808531,0.238357002,4.208451529
Kannauj,3.637205694,0.028212116,3.608993578
Lucknow,1.996226278,0.00696436,1.989261918
Basti,4.958766648,0.322726847,4.636039801
Gorakhpur,10.44474452,0.35299449,10.09175003
Sant Kabir Nagar,6.190358252,0.19440129,5.995956962
Unnao,3.590127624,0.07773585,3.512391774
Etawah,8.738456012,0.23711024,8.501345772
Kanpur Nagar,5.234616541,0.360877047,4.873739494
Auraiya,6.808487542,0.145826885,6.662660657
Faizabad,4.054677701,0.247188018,3.807489683
Kanpur Dehat,3.309974643,0.222688571,3.087286072
Deoria,7.998150162,0.303328624,7.694821538
Sultanpur,4.349309327,0.002008734,4.347300593
Ambedkar Nagar,3.80490503,0.342207082,3.462697948
Rae Bareli,5.209973941,0.023735469,5.186238472
Jalaun,5.196857221,0.392709551,4.80414767
Azamgarh,6.067454778,0.055490347,6.011964431
Mau,4.820667589,0.274573764,4.546093825
Fatehpur,6.194245238,0.497518236,5.696727002
Ballia,14.2259764,0.925904877,13.30007152
Jaunpur,4.255610411,0.012266083,4.243344328
Jhansi,2.23315222,0.409255286,1.823896934
Banda,6.835722082,0.522039626,6.313682456
Ghazipur,9.244698358,0.864783267,8.379915091
Kaushambi,5.838259619,0.615851316,5.222408303
Prayagraj,8.8123858,0.784955122,8.027430678
Varanasi,4.599652222,0.883647796,3.716004426
Chitrakoot,2.917583682,0.454897641,2.462686041
Chandauli,8.940225734,1.049386239,7.890839495
Bhadohi,12.0892717,1.079228201,11.0100435
Mirzapur,4.158753681,1.473547713,2.685205968
Lalitpur,1.497263878,1.506086959,0.008823081
Sonbhadra,2.644815378,2.70977361,0.064958232
Amethi,2.870234132,0,2.870234132
Ghaziabad,2.474121961,0,2.474121961
Sambhal,2.052578084,0.044450144,2.00812794
Mahoba,0.539052412,0.300865401,0.238187011
Saharanpur,2.705190205,0.020060771,2.685129434
Bijnor,3.55139876,0.063788983,3.487609777
Muzaffarnagar,1.484914141,0.003804991,1.48110915
Baghpat,4.30209073,0,4.30209073
Meerut,3.284379909,0.007909836,3.276470073
Moradabad,3.838687956,0,3.838687956
Rampur,4.515924008,0,4.515924008
Shamli,1.857718186,0,1.857718186
Balrampur,4.434421195,0.059511194,4.374910001
Hamirpur,6.709509044,0.665130154,6.04437889
Pratapgarh,3.66688256,0.018238429,3.648644131
Uttarkashi,0.450692495,0.082932117,0.367760378
Chamoli,1.044647093,0.05612071,0.988526383
Dehradun,1.565549733,0.084799737,1.480749996
Tehri Garhwal,1.072103335,0.531062216,0.541041119
Rudraprayag,1.443384607,0.040330005,1.403054602
Pithoragarh,0.525534276,0.108953862,0.416580414
Bageshwar,0.57268385,0.001914048,0.570769802
Hardwar,2.049997612,0.174571933,1.875425679
Garhwal,1.014386007,0.69594354,0.318442467
"Almora
",0.649027255,0.000454012,0.648573243
Nainital,0.775389314,0.026065252,0.749324062
Champawat,1.472908997,0.256522301,1.216386696
Udham Singh Nagar,2.061876849,0.785339181,1.276537668
South Twenty Four Pargan*,17.30461094,7.77866316,9.52594778
Darjiling,2.014600116,0.096238867,1.918361249
Jalpaiguri,4.914165317,0.3463879,4.567777417
Dakshin Dinajpur,3.854366613,0.005980479,3.848386134
Maldah,11.77624381,2.419208171,9.357035639
Murshidabad,11.63868869,1.234154397,10.40453429
Birbhum,4.557102699,0.073826304,4.483276395
Nadia,10.67147424,0.744726558,9.926747682
Purba Bardhaman,8.794297365,0.24975544,8.544541925
Puruliya,0.817297747,0.509342358,0.307955389
Bankura,1.837666654,0.435897763,1.401768891
North Twenty Four Pargan*,18.6648469,7.43925593,11.22559097
Hooghly,9.728119034,0.332437756,9.395681278
Medinipur West,7.838525951,0.025978003,7.812547948
Howrah,22.79593904,3.23081923,19.56511981
Kolkata,12.06523072,10.21461453,1.85061619
Purba Medinipur,17.52355839,2.04670632,15.47685207
Alipurduar,4.056971682,0.017650059,4.039321623
Paschim Bardhaman,2.156244683,0.422563785,1.733680898
Kalimpong,1.209230259,0.250831636,0.958398623
Jhargram,1.847517048,0.072751655,1.774765393
Cooch Behar,7.872524259,0.371070198,7.501454061
Uttar Dinajpur,6.673772935,0.007231452,6.666541483
Thiruvallur,2.527745598,2.390831933,0.136913665
Chennai,4.645634657,1.072848464,3.572786193
Krishnagiri,1.019903242,0.155619892,0.86428335
Tiruvannamalai,1.068840485,0.111931507,0.956908978
Dharmapuri,0.764553583,0.519672081,0.244881502
Salem,1.698807354,0.995995874,0.70281148
Erode,1.28966656,0.635350328,0.654316232
The Nilgiris,0.41168295,0.339577292,0.072105658
Namakkal,0.411626715,0.022086664,0.389540051
Perambalur,0.714228873,0.002767237,0.711461636
Coimbatore,0.519629022,0.20279264,0.316836382
Tiruchirappalli,2.799798931,0.030082563,2.769716368
Ariyalur,2.450977499,0.08746038,2.363517119
Tiruppur,0.635364224,0.084088984,0.55127524
Thanjavur,6.402076626,0.139785443,6.262291183
Karur,1.785192578,0.062914047,1.722278531
Thiruvarur,2.20727188,0.026905003,2.180366877
Dindigul,0.458409501,0.079067201,0.3793423
Madurai,1.022103303,0.009182441,1.012920862
Theni,0.346368373,0.314606199,0.031762174
Virudhunagar,1.881503151,0.022872843,1.858630308
Thoothukkudi,0.991755053,1.009030229,0.017275176
Kanniyakumari,0.216023548,0.214453049,0.001570499
Viluppuram,2.829205267,0.250109562,2.579095705
Cuddalore,6.561569456,0.689771711,5.871797745
Pudukkottai,0.699430563,0.085746267,0.613684296
Sivaganga,1.984480953,0.051279472,1.933201481
Ramanathapuram,3.269130248,1.290662657,1.978467591
Nagapattinam,12.49792911,4.028133598,8.469795512
Kallakurichi,1.726935239,0.016931089,1.71000415
Tenkasi,0.457961738,0.050554592,0.407407146
Tirunelveli,0.61478851,0.622191008,0.007402498
Vellore,0.459638695,0.021681234,0.437957461
Ranipet,1.50587668,0.142824545,1.363052135
Tirupathur,0.890009742,0.007876167,0.882133575
Kancheepuram,2.694220448,0.935998334,1.758222114
Chengalpattu,4.817890104,2.065380723,2.752509381
